"","x"
"1","C80"
"2","D35"
"3","A01"
"4","D38"
"5","B06"
"6","C17"
"7","D31"
"8","C05"
"9","C04"
"10","A02"
"11","B04"
"12","C11"
"13","C06"
"14","D23"
"15","D36"
"16","B08"
"17","D42"
"18","E48"
"19","C12"
"20","E51"
"21","D40"
"22","D25"
"23","D30"
"24","B01"
"25","B09"
"26","C14"
"27","C03"
"28","C18"
"29","D21"
"30","B03"
"31","C07"
"32","E45"
"33","C90"
"34","D37"
"35","B05"
"36","D41"
"37","C09"
"38","E53"
"39","E47"
"40","E49"
"41","D26"
"42","C15"
"43","C00"
"44","C99"
"45","E52"
"46","B07"
"47","C16"
"48","D39"
"49","D33"
